month,metric,mom_pct,movement_zscore,absolute_zscore
2026-01-01,calls,1269700.0,2.4748737297329897,2.4748737297329897
2026-08-01,successful_payments,-74.76444080294962,-2.213692100109603,2.213692100109603
2026-08-01,recovered_amount,-74.84024491485819,-2.1897015692868,2.1897015692868
2026-08-01,ptps,-73.91469916222391,-2.1844360979493684,2.1844360979493684
2026-08-01,answered_calls,-74.10604192355117,-2.1667139228318195,2.1667139228318195
2026-07-01,recovered_per_answered_call,8.53942607563718,2.0074308815890567,2.0074308815890567
2026-07-01,recovered_per_call,2.874122950711433,1.6382736302246896,1.6382736302246896
2026-05-01,answer_rate_pct,5.372583762052052,1.594472958419262,1.594472958419262
2026-04-01,recovered_per_call,-2.7610827890354406,-1.5107544958895993,1.5107544958895993
2026-07-01,answer_rate_pct,-5.219505499892163,-1.409008775084792,1.409008775084792
2026-05-01,recovered_per_answered_call,-4.043935447570068,-1.059563942352644,1.059563942352644
2026-04-01,answer_rate_pct,-3.4388741864316064,-0.9040948254545702,0.9040948254545702
2026-03-01,answered_calls,12.620508326029789,0.8070020335330205,0.8070020335330205
2026-03-01,ptps,13.018018018018008,0.7734217724055957,0.7734217724055957
2026-08-01,recovered_per_answered_call,-2.835422028333312,-0.7650079610572339,0.7650079610572339
2026-03-01,successful_payments,11.28747795414462,0.7573646105466995,0.7573646105466995
2026-08-01,recovered_per_call,-1.4060425168270663,-0.7535399191253792,0.7535399191253792
2026-03-01,recovered_amount,11.031885249801654,0.7301088218820485,0.7301088218820485
2026-05-01,answered_calls,9.636517328825022,0.7046857115243548,0.7046857115243548
2026-05-01,recovered_per_call,1.1115723951962808,0.6533368720390175,0.6533368720390175
